Time_ms,X,Y,Z
0.0,9,-9,279
2.5,9,-6,304
5.0,8,-8,302
7.5,9,-9,305
10.0,10,-7,302
12.5,11,-9,302
15.0,10,-6,300
17.5,10,-6,300
20.0,11,-8,302
22.5,10,-7,302
25.0,10,-8,306
27.5,12,-9,303
30.0,12,-7,302
32.5,9,-3,303
35.0,11,-7,306
37.5,12,-7,303
40.0,8,-6,303
42.5,10,-10,305
45.0,9,-7,306
47.5,9,-8,301
50.0,9,-7,302
52.5,13,-10,303
55.0,12,-10,304
57.5,9,-8,303
60.0,10,-8,305
62.5,11,-8,301
65.0,8,-8,306
67.5,8,-8,306
70.0,9,-5,307
72.5,8,-6,300
75.0,9,-8,303
77.5,7,-6,302
80.0,10,-8,304
82.5,10,-7,302
85.0,9,-7,302
87.5,10,-5,302
90.0,10,-9,300
92.5,10,-9,301
95.0,8,-7,305
97.5,10,-7,302
100.0,7,-8,303
102.5,10,-6,306
105.0,8,-7,300
107.5,10,-9,303
110.0,10,-8,303
112.5,8,-7,304
115.0,8,-7,299
117.5,8,-7,299
120.0,10,-9,304
122.5,10,-7,302
125.0,11,-9,302
127.5,8,-8,304
130.0,11,-9,304
132.5,10,-7,304
135.0,11,-7,304
137.5,12,-9,303
140.0,9,-9,304
142.5,7,-8,302
145.0,10,-6,302
147.5,8,-8,302
150.0,9,-7,304
152.5,12,-7,304
155.0,8,-8,302
157.5,10,-7,301
160.0,10,-6,304
162.5,10,-8,302
165.0,9,-9,304
167.5,9,-9,304
170.0,11,-10,305
172.5,9,-7,302
175.0,7,-7,300
177.5,10,-6,304
180.0,11,-9,301
182.5,11,-9,301
185.0,9,-5,303
187.5,12,-7,307
190.0,9,-5,303
192.5,9,-6,304
195.0,11,-9,305
197.5,9,-7,305
200.0,10,-8,305
202.5,11,-9,305
205.0,11,-9,301
207.5,8,-6,303
210.0,12,-9,302
212.5,10,-9,301
215.0,9,-5,300
217.5,9,-5,300
220.0,11,-7,300
222.5,10,-7,304
225.0,9,-6,306
227.5,8,-7,300
230.0,9,-8,303
232.5,12,-8,304
235.0,12,-6,303
237.5,13,-7,306
240.0,8,-7,304
242.5,7,-8,303
245.0,10,-9,303
247.5,10,-7,305
250.0,10,-8,305
252.5,11,-9,304
255.0,9,-9,301
257.5,10,-8,302
260.0,9,-8,300
262.5,10,-9,303
265.0,12,-9,305
267.5,12,-9,305
270.0,10,-9,303
272.5,11,-6,301
275.0,10,-6,302
277.5,10,-3,305
280.0,11,-9,308
282.5,11,-8,305
285.0,10,-5,301
287.5,9,-6,303
290.0,12,-8,305
292.5,9,-7,306
295.0,11,-9,303
297.5,8,-6,304
300.0,8,-9,305
302.5,9,-7,300
305.0,9,-8,304
307.5,10,-7,304
310.0,9,-8,304
312.5,12,-10,306
315.0,10,-9,305
317.5,10,-9,305
320.0,7,-7,301
322.5,9,-8,302
325.0,11,-5,304
327.5,12,-7,301
330.0,11,-6,302
332.5,14,-7,300
335.0,11,-5,302
337.5,8,-5,302
340.0,10,-8,306
342.5,7,-8,305
345.0,9,-7,304
347.5,10,-6,301
350.0,8,-8,306
352.5,11,-8,305
355.0,11,-8,304
357.5,11,-9,305
360.0,10,-6,303
362.5,11,-8,306
365.0,9,-8,304
367.5,9,-8,304
370.0,11,-7,299
372.5,8,-6,307
375.0,9,-7,303
377.5,8,-8,301
380.0,13,-9,303
382.5,11,-11,303
385.0,10,-8,302
387.5,9,-6,304
390.0,10,-6,306
392.5,11,-7,301
395.0,11,-8,301
397.5,10,-8,302
400.0,12,-8,301
402.5,8,-7,303
405.0,8,-7,304
407.5,10,-9,304
410.0,10,-9,300
412.5,10,-7,300
415.0,9,-8,304
417.5,9,-8,304
420.0,11,-7,302
422.5,12,-11,305
425.0,9,-7,303
427.5,11,-6,305
430.0,9,-7,301
432.5,15,-9,306
435.0,11,-5,303
437.5,11,-7,305
440.0,10,-7,304
442.5,9,-10,303
445.0,8,-8,307
447.5,11,-7,304
450.0,10,-8,303
452.5,11,-8,302
455.0,8,-7,304
457.5,11,-8,303
460.0,10,-8,304
462.5,10,-9,305
465.0,10,-10,303
467.5,10,-10,303
470.0,10,-9,305
472.5,10,-8,302
475.0,10,-7,302
477.5,9,-6,304
480.0,9,-8,304
482.5,12,-6,300
485.0,11,-6,304
487.5,11,-7,306
490.0,10,-7,304
492.5,9,-6,304
495.0,9,-5,305
497.5,8,-8,301
500.0,10,-8,305
502.5,11,-8,304
505.0,10,-10,299
507.5,11,-7,303
510.0,8,-5,305
512.5,9,-12,301
515.0,9,-12,301
517.5,11,-9,303
520.0,11,-8,305
522.5,10,-10,303
525.0,11,-6,307
527.5,9,-7,302
530.0,9,-9,303
532.5,10,-4,305
535.0,11,-7,305
537.5,11,-9,305
540.0,10,-9,303
542.5,11,-7,306
545.0,9,-6,305
547.5,9,-6,304
550.0,10,-5,304
552.5,11,-9,303
555.0,10,-8,303
557.5,10,-7,304
560.0,8,-6,302
562.5,10,-9,300
565.0,10,-9,300
567.5,9,-7,303
570.0,10,-8,305
572.5,13,-9,307
575.0,11,-9,305
577.5,8,-7,303
580.0,11,-5,300
582.5,10,-4,304
585.0,9,-7,304
587.5,10,-7,308
590.0,14,-9,306
592.5,10,-8,302
595.0,10,-7,303
597.5,10,-6,300
600.0,11,-6,303
602.5,12,-9,304
605.0,11,-9,304
607.5,10,-9,305
610.0,11,-10,306
612.5,11,-9,304
615.0,11,-9,304
617.5,10,-8,304
620.0,9,-5,300
622.5,7,-8,303
625.0,10,-6,304
627.5,10,-7,304
630.0,9,-5,305
632.5,10,-5,303
635.0,9,-5,303
637.5,11,-9,301
640.0,10,-4,304
642.5,11,-9,305
645.0,9,-9,305
647.5,10,-8,302
650.0,9,-8,303
652.5,9,-8,302
655.0,9,-9,300
657.5,9,-7,303
660.0,9,-6,304
662.5,10,-7,306
665.0,10,-7,306
667.5,11,-7,306
670.0,10,-6,306
672.5,9,-7,301
675.0,13,-7,301
677.5,9,-9,307
680.0,9,-8,308
682.5,10,-6,305
685.0,9,-6,301
687.5,12,-5,303
690.0,10,-6,303
692.5,9,-8,308
695.0,9,-6,305
697.5,9,-8,304
700.0,10,-8,302
702.5,10,-10,304
705.0,9,-7,302
707.5,10,-7,304
710.0,9,-8,304
712.5,9,-8,302
715.0,9,-8,302
717.5,7,-7,305
720.0,10,-8,303
722.5,9,-5,304
725.0,10,-7,304
727.5,11,-8,304
730.0,10,-7,303
732.5,8,-7,303
735.0,10,-7,305
737.5,11,-9,305
740.0,8,-8,304
742.5,10,-7,302
745.0,11,-5,305
747.5,11,-9,305
750.0,10,-10,300
752.5,9,-9,305
755.0,9,-9,304
757.5,11,-9,301
760.0,8,-9,301
762.5,10,-9,302
765.0,10,-9,302
767.5,10,-11,303
770.0,10,-8,304
772.5,11,-8,303
775.0,13,-8,300
777.5,8,-6,303
780.0,11,-8,305
782.5,12,-5,304
785.0,10,-9,303
787.5,9,-5,302
790.0,9,-6,303
792.5,11,-7,301
795.0,11,-8,302
797.5,10,-11,301
800.0,9,-7,301
802.5,10,-9,301
805.0,11,-10,304
807.5,9,-5,303
810.0,10,-10,303
812.5,9,-9,302
815.0,9,-9,302
817.5,8,-7,302
820.0,8,-3,302
822.5,10,-8,308
825.0,12,-8,302
827.5,9,-6,305
830.0,13,-6,305
832.5,10,-4,299
835.0,7,-7,302
837.5,10,-6,303
840.0,9,-7,301
842.5,10,-6,302
845.0,9,-8,304
847.5,10,-8,303
850.0,10,-8,302
852.5,9,-6,300
855.0,8,-7,302
857.5,10,-9,302
860.0,11,-8,303
862.5,10,-9,301
865.0,10,-9,301
867.5,8,-8,301
870.0,9,-8,301
872.5,10,-7,301
875.0,7,-6,301
877.5,10,-6,302
880.0,14,-11,303
882.5,11,-5,298
885.0,9,-10,302
887.5,11,-7,302
890.0,9,-6,303
892.5,8,-4,306
895.0,10,-7,304
897.5,8,-8,304
900.0,12,-9,302
902.5,11,-9,298
905.0,10,-8,302
