Time_ms,X,Y,Z
0.0,108,50,244
2.5,9,-2,340
5.0,-13,-14,276
7.5,-10,-27,290
10.0,-9,-9,345
12.5,24,-21,337
15.0,24,-21,337
17.5,15,-21,350
20.0,73,4,329
22.5,73,12,291
25.0,-45,-17,299
27.5,-17,-21,296
30.0,38,-10,317
32.5,-33,6,335
35.0,13,8,293
37.5,12,18,319
40.0,19,11,286
42.5,-10,-21,210
45.0,16,-54,316
47.5,5,11,289
50.0,0,1,294
52.5,-38,-39,314
55.0,62,-8,279
57.5,-46,-13,312
60.0,-5,-18,242
62.5,-34,-27,316
65.0,-34,-27,316
67.5,28,24,266
70.0,7,-29,307
72.5,-65,-25,324
75.0,-29,-56,298
77.5,-15,-16,292
80.0,-47,-49,343
82.5,31,-40,325
85.0,14,-6,297
87.5,-46,-33,322
90.0,105,26,300
92.5,-37,-24,303
95.0,43,5,340
97.5,44,8,265
100.0,69,21,352
102.5,10,-13,242
105.0,-33,-25,287
107.5,-2,11,287
110.0,40,6,284
112.5,-98,-76,330
115.0,-98,-76,330
117.5,8,4,313
120.0,-1,23,265
122.5,-69,-43,315
125.0,61,-30,317
127.5,55,8,276
130.0,-14,-24,352
132.5,-3,-18,316
135.0,30,-32,365
137.5,16,20,295
140.0,-41,7,274
142.5,-48,-27,313
145.0,-16,-1,290
147.5,-16,-31,275
150.0,-19,-10,330
152.5,47,1,300
155.0,-9,-9,348
157.5,6,7,247
160.0,-63,41,295
162.5,0,-17,305
165.0,0,-17,305
167.5,-1,-8,276
170.0,-26,15,307
172.5,48,-34,386
175.0,20,-23,262
177.5,8,-1,323
180.0,24,-24,246
182.5,-6,5,243
185.0,14,17,315
187.5,3,-28,316
190.0,-2,-29,355
192.5,10,-33,340
195.0,-3,21,267
197.5,-17,-35,319
200.0,12,-19,266
202.5,1,24,263
205.0,29,-10,334
207.5,83,11,300
210.0,-2,-28,349
212.5,-18,-9,335
215.0,-18,-9,335
217.5,24,-20,310
220.0,-17,0,322
222.5,52,22,270
225.0,27,2,284
227.5,-20,-30,350
230.0,46,-4,311
232.5,-24,-8,345
235.0,24,-7,293
237.5,119,30,246
240.0,38,21,267
242.5,16,-21,307
245.0,42,25,284
247.5,128,18,338
250.0,-76,-17,291
252.5,-4,-25,369
255.0,42,8,246
257.5,47,31,247
260.0,-50,-19,302
262.5,63,-42,309
265.0,63,-42,309
267.5,-16,-29,349
270.0,36,21,335
272.5,-13,-9,247
275.0,58,6,351
277.5,54,-36,253
280.0,45,5,243
282.5,39,4,311
285.0,87,-16,303
287.5,31,-2,310
290.0,67,35,292
292.5,49,-2,301
295.0,-1,-23,347
297.5,-5,-40,271
300.0,81,-6,284
302.5,-2,2,313
305.0,46,16,315
307.5,30,37,341
310.0,-40,-43,297
312.5,-40,-43,297
315.0,77,31,301
317.5,30,-21,363
320.0,92,12,291
322.5,71,57,268
325.0,-14,-33,346
327.5,57,9,316
330.0,11,-21,364
