Time_ms,X,Y,Z
0.0,2,1,254
2.5,-21,1,298
5.0,27,51,256
7.5,95,21,264
10.0,9,-29,357
12.5,17,-27,312
15.0,17,-27,312
17.5,18,-11,240
20.0,28,-12,314
22.5,42,-10,289
25.0,52,14,314
27.5,-8,-27,356
30.0,15,-2,305
32.5,-46,-12,348
35.0,48,14,336
37.5,28,-1,223
40.0,28,49,305
42.5,25,5,213
45.0,-23,-46,301
47.5,-3,-26,335
50.0,49,55,289
52.5,28,3,283
55.0,34,-7,314
57.5,47,9,245
60.0,-16,9,358
62.5,21,-33,278
65.0,21,-33,278
67.5,-12,-30,291
70.0,47,-17,302
72.5,14,-6,259
75.0,15,4,284
77.5,-41,-7,339
80.0,31,21,310
82.5,6,-11,332
85.0,18,12,249
87.5,41,-5,254
90.0,-8,-7,285
92.5,18,1,271
95.0,2,1,292
97.5,27,-1,340
100.0,-5,37,282
102.5,-26,-4,367
105.0,-10,-27,287
107.5,26,-10,270
110.0,14,-5,298
112.5,14,-5,298
115.0,44,-12,250
117.5,15,19,261
120.0,4,-8,321
122.5,14,5,319
125.0,-20,-22,361
127.5,17,9,343
130.0,4,-33,314
132.5,-12,-40,278
135.0,1,-27,245
137.5,-6,-4,330
140.0,43,55,214
142.5,48,-38,293
145.0,-4,-3,353
147.5,26,19,322
150.0,12,-32,215
152.5,-51,-28,322
155.0,5,-89,402
157.5,20,36,257
160.0,-36,-46,374
162.5,-36,-46,374
165.0,23,42,310
167.5,58,7,356
170.0,26,-4,326
172.5,27,-17,320
175.0,69,28,241
177.5,-25,-40,248
180.0,-7,-14,272
182.5,-21,-20,323
185.0,-4,-21,224
187.5,-21,-22,300
190.0,-2,-8,353
192.5,20,-3,342
195.0,-34,-42,391
197.5,53,16,222
200.0,-37,11,366
202.5,1,-26,289
205.0,12,-28,292
207.5,-4,7,291
210.0,-2,-14,342
212.5,-2,-14,342
215.0,36,26,249
217.5,-29,-31,329
220.0,65,0,216
222.5,6,-14,279
225.0,1,9,298
227.5,17,-6,280
230.0,-54,-31,329
232.5,15,-9,291
235.0,44,-16,293
237.5,-10,-24,319
240.0,32,20,236
242.5,-11,-16,313
245.0,1,0,298
247.5,7,-4,297
250.0,6,2,321
252.5,-13,-27,338
255.0,31,-2,236
257.5,1,-8,317
260.0,64,36,243
262.5,64,36,243
265.0,1,-33,318
267.5,-30,-33,273
270.0,15,-22,317
272.5,38,26,343
275.0,23,-18,345
277.5,-27,-52,269
280.0,-38,-39,339
282.5,60,31,244
285.0,5,8,276
287.5,-12,-28,321
290.0,52,19,316
292.5,-13,-28,348
295.0,16,5,287
297.5,31,13,278
300.0,-15,-28,333
302.5,27,-18,230
305.0,24,-14,292
307.5,-44,-47,287
310.0,65,-41,290
312.5,65,-41,290
315.0,-13,21,410
317.5,-27,-6,363
320.0,27,-8,205
322.5,-2,0,346
325.0,37,5,227
327.5,23,35,295
330.0,-5,11,330
332.5,95,-19,310
335.0,-36,-31,410
337.5,-11,-17,410
340.0,20,-38,205
342.5,25,-11,330
345.0,40,29,311
347.5,53,-19,342
350.0,13,-23,334
352.5,32,0,298
355.0,-69,-2,362
357.5,19,58,299
360.0,-46,-6,282
362.5,-46,-6,282
365.0,49,30,313
367.5,-5,-28,263
370.0,-27,-4,275
372.5,36,-15,333
375.0,80,-11,319
377.5,108,29,273
380.0,13,-37,282
382.5,40,1,285
385.0,-47,-33,348
387.5,39,-11,235
390.0,-23,-85,291
392.5,50,-19,369
395.0,26,8,287
397.5,-11,-22,299
400.0,-44,7,341
402.5,1,-7,246
405.0,-67,-2,337
407.5,30,-41,319
410.0,-70,-19,368
412.5,-70,-19,368
415.0,-26,-30,345
417.5,18,32,292
420.0,-10,-8,296
422.5,-31,27,306
425.0,22,-14,261
427.5,-33,-12,361
430.0,45,0,262
432.5,-6,-6,300
435.0,0,-16,295
437.5,3,90,246
440.0,27,-2,287
442.5,32,-23,362
445.0,-20,2,274
447.5,-5,-14,357
450.0,-8,-38,300
452.5,81,18,273
455.0,13,-4,296
457.5,51,7,258
460.0,23,-51,294
462.5,23,-51,294
465.0,-15,2,314
467.5,40,0,332
470.0,-32,-33,349
472.5,3,-37,316
475.0,46,10,255
477.5,-15,0,309
480.0,21,0,231
482.5,81,41,295
485.0,-4,-38,353
487.5,20,-3,274
490.0,-18,30,312
492.5,22,23,318
495.0,-18,-9,274
497.5,-33,-24,332
500.0,65,2,224
502.5,-19,-4,236
505.0,-44,1,329
507.5,15,1,308
510.0,74,31,252
512.5,74,31,252
515.0,31,-35,332
517.5,110,27,272
520.0,-38,4,329
522.5,144,14,229
525.0,22,10,276
527.5,-4,-29,305
530.0,7,14,315
532.5,0,-43,340
535.0,5,-27,352
537.5,41,8,297
540.0,7,-25,336
542.5,10,12,284
545.0,49,30,267
547.5,-32,7,313
550.0,15,-22,258
552.5,31,7,323
555.0,-15,-29,318
557.5,1,23,285
560.0,-16,-45,355
562.5,-16,-45,355
565.0,4,-12,298
567.5,25,-8,363
570.0,7,-17,289
572.5,23,1,420
575.0,58,9,275
577.5,-6,-42,324
580.0,61,18,226
582.5,-59,-72,306
585.0,-11,-22,288
587.5,12,9,339
590.0,-20,1,327
592.5,70,10,325
595.0,16,-14,289
597.5,0,-53,336
600.0,-18,18,333
602.5,-42,-25,320
605.0,14,-17,246
607.5,19,2,276
610.0,-24,4,312
612.5,-24,4,312
615.0,-9,4,319
617.5,-34,37,307
620.0,23,-9,355
622.5,7,-1,297
625.0,-42,-41,372
627.5,89,37,233
630.0,-14,-14,309
632.5,24,-28,306
635.0,0,-1,327
637.5,-22,-47,361
