Time_ms,X,Y,Z
0.0,28,19,316
2.5,31,26,273
5.0,38,-26,241
7.5,-18,0,332
10.0,69,-45,234
12.5,69,-45,234
15.0,-97,-42,387
17.5,-48,-3,275
20.0,113,80,92
22.5,44,83,284
25.0,28,-22,387
27.5,-2,-2,248
30.0,-5,7,405
32.5,11,-25,322
35.0,24,-1,172
37.5,41,0,312
40.0,-2,22,378
42.5,-25,-16,287
45.0,-20,-39,333
47.5,-1,27,271
50.0,-28,-25,300
52.5,-39,-56,386
55.0,57,5,289
57.5,44,-3,287
60.0,119,48,199
62.5,119,48,199
65.0,40,-59,398
67.5,18,-19,415
70.0,7,-18,393
72.5,-37,12,363
75.0,-59,-25,152
77.5,36,10,275
80.0,61,-4,359
82.5,67,31,319
85.0,78,-14,290
87.5,-9,13,249
90.0,39,22,209
92.5,-63,-30,445
95.0,-17,-57,330
97.5,58,67,241
100.0,-85,-71,379
102.5,-59,-22,275
105.0,-31,-4,431
107.5,45,13,266
110.0,2,21,299
112.5,2,21,299
115.0,20,-59,305
117.5,-82,-38,371
120.0,42,0,244
122.5,15,1,369
125.0,45,12,362
127.5,-20,-29,302
130.0,-3,12,231
132.5,47,22,320
135.0,-45,-12,511
137.5,136,37,297
140.0,32,4,375
142.5,-8,-37,348
145.0,30,-4,227
147.5,67,5,304
150.0,-4,-32,344
152.5,84,18,254
155.0,-15,-25,300
157.5,-39,-44,326
160.0,-4,-14,333
162.5,-4,-14,333
165.0,-30,-28,328
167.5,21,-6,267
170.0,12,-2,336
172.5,13,15,322
175.0,-17,-3,290
177.5,43,31,341
180.0,71,128,374
182.5,49,-29,311
185.0,75,-40,312
187.5,113,-22,335
190.0,27,-61,354
192.5,-20,-20,358
195.0,80,12,229
197.5,-23,12,299
200.0,-47,-47,317
202.5,89,9,349
205.0,-12,1,311
207.5,-34,-27,219
210.0,66,13,314
212.5,66,13,314
215.0,-28,-46,309
217.5,45,35,264
220.0,30,-14,347
222.5,33,30,311
225.0,114,-6,302
227.5,-26,69,360
230.0,39,-7,287
232.5,162,13,260
